product,instructions,warning
Paracetamol 500mg Tablet, Take two tablets three(3) times daily(8-hourly) for 5 days after food, Avoid alcohol and keep out of reach of children
Ibuprofen 400mg Tablet, Take one tablet three(3) times daily(8-hourly) with meals for 3 days, Do not use in pregnancy and avoid alcohol
Amoxicillin 500mg Capsule, Take one capsule three(3) times daily(8-hourly) for 7 days, Complete full course
Azithromycin 500mg Tablet, Take one tablet once(1) daily(24-hourly) for 3 days, Take on empty stomach
Cetirizine 10mg Tablet, Take one tablet once(1) daily(24-hourly) at night, May cause drowsiness avoid driving
Metformin 500mg Tablet, Take one tablet twice(2) daily(12-hourly) with meals, Avoid alcohol
Amlodipine 10mg Tablet, Take one tablet once(1) daily(24-hourly) in the morning, Do not stop abruptly
Losartan 50mg Tablet, Take one tablet once(1) daily(24-hourly), Monitor blood pressure
Omeprazole 20mg Capsule, Take one capsule once(1) daily(24-hourly) before breakfast, Do not crush or chew
Doxycycline 100mg Capsule, Take one capsule twice(2) daily(12-hourly) for 7 days, Avoid sunlight exposure
Coartem Tablet, Take full dose twice(2) daily(12-hourly) for 3 days as per malaria schedule, Complete full course
Prednisolone 20mg Tablet, Take one tablet once(1) daily(24-hourly) after breakfast, Do not stop abruptly
Diclofenac 50mg Tablet, Take one tablet twice(2) daily(12-hourly) after food, Avoid alcohol
Aspirin 75mg Tablet, Take one tablet once(1) daily(24-hourly), Avoid use with NSAIDs
Atorvastatin 20mg Tablet, Take one tablet once(1) daily(24-hourly) at night, Avoid grapefruit juice
Co-trimoxazole 960mg Tablet, Take one tablet twice(2) daily(12-hourly) for 7 days, Complete full course
Metronidazole 400mg Tablet, Take one tablet three(3) times daily(8-hourly) for 5 days, Avoid alcohol completely
Folic Acid 5mg Tablet, Take one tablet once(1) daily(24-hourly), Do not overdose
Ferrous Sulfate 200mg Tablet, Take one tablet twice(2) daily(12-hourly) after meals, May cause constipation
Loperamide 2mg Capsule, Take one capsule after each loose stool up to four(4) times daily(6-hourly), Do not exceed max dose
